hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10,is_win
59,50,78,52,26,44,100,25,85,28,1
8,57,100,30,52,101,23,21,16,41,0
30,73,31,28,93,20,8,65,11,60,1
39,62,91,38,18,8,76,55,87,107,1
64,39,52,55,18,62,81,90,91,46,0
7,53,69,45,51,81,99,21,92,91,0
17,88,54,66,53,72,55,38,89,63,1
49,26,45,92,98,51,66,20,73,11,0
55,28,87,107,106,64,69,21,8,30,1
6,32,17,88,86,8,37,57,28,44,0
62,112,55,93,106,89,1,47,100,3,1
40,107,49,37,57,1,60,86,104,45,0
54,111,43,26,53,72,20,74,66,65,0
14,53,87,11,54,32,5,96,95,97,1
22,103,30,63,106,47,8,66,20,54,0
106,4,31,28,40,66,86,43,36,98,1
73,111,65,36,32,8,38,54,20,103,0
30,38,67,66,65,55,111,107,76,18,1
27,78,75,43,64,29,80,101,74,20,0
108,76,72,53,112,30,48,100,58,57,0
110,39,25,7,17,100,12,50,30,46,1
93,29,39,23,5,109,13,27,16,65,0
120,8,49,30,39,25,38,54,87,100,1
86,98,14,27,9,16,50,10,17,30,0
102,74,30,18,62,38,100,47,66,8,0
36,64,13,20,107,60,56,95,75,108,0
85,49,75,87,112,43,28,100,27,73,0
52,76,80,27,88,15,89,62,92,67,1
27,7,33,77,63,9,92,42,41,34,1
16,79,8,28,25,5,104,86,63,17,1
41,87,51,11,56,60,54,13,74,86,1
27,41,74,77,23,47,100,20,96,45,1
85,72,89,46,86,11,92,12,55,100,0
66,62,20,51,1,86,53,97,44,90,0
85,74,6,30,88,65,14,8,37,73,0
1,13,50,28,75,41,109,87,20,34,1
35,16,43,42,99,47,90,89,9,102,0
104,53,30,98,3,21,102,71,22,39,1
84,41,101,17,88,64,20,106,77,65,0
9,64,65,79,78,106,97,101,53,20,1
90,2,74,72,107,30,42,100,61,15,1
93,20,68,46,2,26,51,40,22,8,0
27,65,35,22,68,50,19,14,9,82,0
26,72,41,112,74,62,8,20,38,43,1
13,48,68,53,40,74,55,86,54,58,0
102,106,30,15,84,61,20,21,93,26,0
112,11,3,28,55,74,85,52,79,69,0
87,40,94,47,16,25,55,51,48,64,0
83,97,53,64,70,62,86,81,13,91,0
51,92,89,47,95,98,65,29,73,5,0
11,86,61,66,39,69,106,20,68,93,1
107,75,20,47,69,16,68,61,2,18,0
65,85,106,20,76,67,13,111,110,53,0
13,85,102,48,90,98,57,9,74,76,1
37,15,87,86,29,7,9,43,101,59,0
2,111,54,39,28,8,82,50,55,71,0
107,104,106,5,54,80,16,33,46,30,0
38,86,15,11,51,95,39,16,101,97,1
47,11,6,102,92,90,52,112,70,55,0
27,7,10,96,78,89,35,74,101,29,1
37,15,87,78,76,43,65,103,3,8,1
39,68,63,18,88,76,54,62,50,7,1
18,26,103,13,55,110,80,28,87,49,0
17,10,92,98,89,88,53,90,63,91,1
76,92,40,13,8,73,50,103,89,63,1
4,43,40,20,64,67,21,26,68,55,1
8,18,85,26,68,28,73,31,91,106,0
3,73,52,98,21,13,54,66,49,86,0
49,112,31,16,67,28,44,3,79,80,1
18,91,38,30,13,20,109,23,74,28,0
95,110,101,16,17,68,20,51,28,35,0
98,65,50,89,103,111,64,34,16,8,0
30,10,93,96,95,2,26,22,72,50,0
47,18,40,79,39,90,20,46,72,51,1
13,30,6,88,17,26,104,65,93,62,1
38,68,18,62,8,29,107,98,89,31,0
75,48,51,86,82,106,79,80,52,96,0
37,72,2,52,11,69,48,21,47,79,0
63,53,16,65,87,41,74,68,83,96,1
11,63,92,49,5,48,86,51,55,66,1
30,88,99,7,39,16,47,9,6,37,0
50,74,42,88,98,106,54,27,55,16,1
20,69,46,101,106,40,57,77,29,17,0
31,4,69,88,94,73,50,81,60,13,1
31,99,82,87,78,26,8,40,66,13,0
3,17,65,72,25,34,88,56,86,1,0
72,94,87,13,89,64,15,16,11,103,1
26,90,51,94,47,8,20,4,74,2,1
103,20,96,44,97,95,7,101,93,98,0
5,13,60,76,54,111,71,47,18,65,1
33,54,78,13,101,20,72,96,43,68,0
86,55,106,32,13,107,8,27,38,47,1
72,87,20,38,35,51,74,26,93,33,0
99,53,50,100,76,13,18,25,58,41,0
72,71,31,87,22,7,25,28,46,20,1
93,91,87,97,7,25,72,38,16,66,0
89,21,53,73,66,63,5,80,102,98,0
